Name,Overall,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
Jaume,76,30,11,16,32,18,13,25,13,32,32,58,58,60,69,59,42,72,45,68,12,21,25,16,43,25,56,20,12,22,74,73,73,74,82
S. Gigot,76,68,20,73,67,25,53,34,33,71,63,60,69,61,75,57,44,63,73,83,27,79,76,39,51,56,67,77,73,75,11,15,13,10,10
I. Brizuela,76,73,65,50,72,61,80,69,52,65,79,90,92,90,68,78,72,66,80,68,69,70,43,69,66,60,72,40,50,42,12,9,16,15,16
A. Souquet,76,74,59,70,75,39,74,62,46,71,77,75,74,68,72,65,59,67,75,70,41,66,71,74,69,49,72,73,78,77,15,10,8,13,11
A. Delort,76,67,75,76,70,76,74,41,71,57,71,72,76,71,69,72,84,78,77,82,72,73,23,74,71,70,73,31,20,24,10,14,10,8,11
P. Zabaleta,76,74,49,74,72,50,71,68,66,64,75,50,51,66,80,64,66,79,70,73,57,85,81,70,66,64,76,79,82,79,10,14,15,7,5
Andeson Trigo,76,75,60,60,75,59,76,84,77,72,73,88,82,87,82,83,70,64,84,67,61,70,62,72,73,67,80,76,74,77,13,13,9,8,12
J. Gnagnon,76,35,28,76,65,32,56,29,28,47,69,66,66,40,70,54,48,84,65,87,27,76,74,35,34,47,69,71,79,73,11,6,14,9,6
Mosquera,76,61,58,65,76,51,65,79,70,75,76,64,35,68,74,60,61,68,85,67,62,76,78,70,75,51,71,75,74,65,10,15,8,14,10
I. Bebou,76,66,74,55,72,63,81,63,46,53,77,91,95,84,73,75,66,69,79,60,64,43,31,71,65,67,66,26,35,33,10,11,12,11,11
R. Morrison,76,70,70,49,80,65,80,70,75,76,80,77,84,80,58,76,72,40,68,51,71,63,35,66,74,56,68,58,55,43,14,15,13,12,8
L. Christodoulopoulos,76,74,71,67,72,70,81,83,79,71,78,77,75,79,72,56,78,64,70,73,77,50,57,75,68,75,72,42,55,51,5,9,6,15,14
J. McArthur,76,66,68,66,78,53,70,54,61,74,77,60,53,70,80,77,65,64,79,71,61,88,73,75,72,64,80,70,72,70,1,1,1,1,1
R. Olsen,76,20,11,16,32,16,11,18,16,37,18,31,40,32,73,33,20,40,37,75,14,27,20,13,55,26,45,22,12,16,76,74,74,76,77
W. Hoedt,76,40,30,78,68,55,58,31,36,74,62,59,60,38,74,36,72,74,65,77,59,79,75,29,62,37,63,72,78,74,15,10,13,8,11
R. Holding,76,52,30,75,72,27,62,33,30,61,67,58,61,58,70,67,48,75,68,76,27,72,77,40,57,38,79,77,78,76,14,11,10,14,13
F. Montero,76,68,76,75,72,81,76,84,76,69,80,71,72,85,74,78,78,73,72,58,74,52,40,77,80,82,83,54,46,27,10,8,9,10,14
N. Sliti,76,70,67,49,78,72,81,72,70,65,78,76,75,79,71,84,68,66,81,68,74,59,32,73,74,70,78,31,34,27,8,15,15,11,12
J. V·zquez,76,55,40,55,79,48,59,58,59,70,71,77,73,78,73,88,68,69,90,64,64,63,79,65,65,56,80,73,77,74,7,7,8,16,6
Rodrigo Ely,76,34,18,73,62,15,50,20,18,54,55,62,68,61,72,41,48,76,65,88,38,75,75,22,22,35,62,74,78,74,13,10,9,9,11
M. BenÌtez,76,69,75,57,75,66,81,63,42,63,75,88,78,84,75,66,72,51,83,66,73,44,57,75,69,69,75,65,33,23,7,9,15,9,12
Y. Yaz?c?,76,77,71,68,76,68,78,79,76,70,77,70,75,76,68,69,78,55,80,69,75,68,40,74,76,60,73,38,54,45,10,12,5,13,7
Y. SankharÈ,76,68,70,77,78,68,75,63,50,73,75,61,67,68,74,55,76,69,83,78,68,82,71,73,73,59,77,69,75,71,14,10,10,12,8
A. N'Diaye,76,63,49,58,77,37,65,40,32,75,77,65,76,61,70,60,73,66,70,87,62,78,74,59,70,54,67,73,74,73,11,7,13,15,10
S. Bell,76,43,34,81,66,37,49,33,40,66,54,53,61,49,76,40,65,64,62,85,30,68,81,33,47,43,75,73,81,71,7,16,8,13,14
K. Linetty,76,60,64,56,78,38,74,62,36,74,76,76,69,76,74,79,70,79,79,66,64,79,76,68,76,50,70,72,74,70,13,8,11,14,6
F. Uduokhai,76,35,33,78,71,18,49,34,31,59,70,63,74,64,75,60,62,68,64,77,35,69,78,35,46,38,70,77,79,71,6,10,10,9,14
M. Samatta,76,63,82,71,62,72,74,65,57,45,70,82,84,79,67,65,79,84,65,73,65,62,18,78,56,70,71,32,18,13,12,14,9,7,9
Barrag·n,76,77,44,75,77,59,62,64,51,62,75,69,71,67,76,67,61,71,77,73,53,74,77,56,52,55,62,70,80,79,6,8,11,8,10
R. Hamouma,76,76,73,63,77,73,78,76,70,71,79,75,73,78,72,74,70,60,71,60,73,60,39,76,74,71,73,38,41,41,14,11,14,7,13
L. Skorupski,76,19,11,10,29,17,18,12,19,26,23,51,51,48,68,38,23,58,31,58,15,33,17,13,32,22,58,18,12,12,80,75,54,75,81
ToÒo GarcÌa,76,80,62,49,76,44,75,82,59,66,76,83,84,77,75,80,65,66,82,64,61,56,74,72,68,62,74,71,72,73,15,13,7,10,15
A. Szalai,76,49,80,84,72,68,69,58,42,48,75,45,46,63,76,59,82,64,65,87,64,74,41,78,65,76,75,31,41,13,14,12,6,16,9
Ra˙l Navas,76,49,36,78,73,44,25,34,65,56,73,50,40,54,61,65,72,77,50,75,41,79,72,39,46,46,68,74,79,78,10,16,9,12,10
B. KonÈ,76,33,31,79,61,35,41,46,37,62,55,62,61,70,60,54,65,83,63,79,37,77,74,41,41,53,67,76,77,86,14,10,12,8,8
J. Brekalo,76,74,63,45,73,62,84,67,60,59,79,86,79,86,76,82,70,63,66,49,65,38,30,68,69,59,68,43,28,37,9,7,5,6,14
Diego Tardelli,76,70,73,69,74,76,78,75,73,73,80,72,71,77,72,75,78,74,72,63,74,70,45,70,75,77,72,58,35,23,9,9,11,10,9
A. Hegazi,76,18,17,77,59,23,37,35,29,54,63,49,55,45,65,51,27,75,73,85,15,83,71,20,41,30,60,76,78,76,14,14,5,10,8
M. Sels,76,16,16,14,32,19,19,17,17,30,33,37,35,36,70,34,38,70,30,67,18,24,13,18,45,22,60,12,13,14,79,69,70,75,80
D. Gray,76,69,68,31,69,54,84,70,58,60,79,88,87,88,70,79,81,52,68,59,71,41,25,69,72,58,62,29,30,23,6,11,11,13,10
M. Pjaca,76,76,61,68,77,72,86,82,72,67,87,79,78,79,68,75,76,68,73,75,72,50,30,62,68,72,70,41,42,34,11,5,10,9,12
M. Arambarri,76,59,49,62,79,43,69,66,46,78,79,47,53,61,70,73,64,60,68,65,55,79,73,60,68,50,63,77,79,73,7,13,13,15,7
A. ?ori?,76,73,64,34,74,56,80,67,71,66,81,78,66,82,71,84,68,55,73,49,71,41,27,70,77,58,78,44,31,24,15,10,14,14,7
T. Gebre Selassie,76,75,49,80,76,49,76,52,58,69,77,75,75,73,73,67,62,89,81,67,39,70,81,66,61,51,71,74,74,68,7,6,14,7,14
C. Nkunku,76,69,76,59,79,59,82,77,69,72,80,76,75,78,70,79,79,59,71,63,74,62,69,73,73,65,72,69,72,70,5,6,10,15,7
M. Topal,76,49,58,70,73,54,65,60,54,71,72,62,58,64,80,62,77,77,83,77,70,66,86,56,58,68,72,70,78,76,15,10,15,9,11
LÈo Matos,76,77,70,72,73,56,76,62,56,71,75,83,83,76,72,75,70,73,83,74,69,70,69,77,67,60,74,69,75,72,10,12,16,8,9
F. Kainz,76,72,71,43,73,55,82,62,71,70,80,85,77,88,69,83,70,70,74,55,76,37,24,67,66,58,63,54,31,25,11,7,10,15,13
B. Henrichs,76,79,50,59,77,53,78,73,49,66,77,78,78,76,79,71,62,65,75,68,46,61,76,62,66,59,74,69,74,70,8,9,13,12,14
Victildinho,76,72,52,68,73,55,71,61,62,71,77,81,82,72,74,77,54,51,77,61,53,64,73,61,71,63,72,80,74,73,8,16,9,10,15
D. Praet,76,74,66,62,81,70,78,74,67,77,78,73,69,76,72,71,72,66,71,64,75,64,60,75,75,56,74,56,62,58,6,6,10,14,10
A. Umar,76,66,65,45,74,54,79,59,47,64,78,90,88,89,70,83,75,62,72,69,71,74,66,70,72,53,75,50,60,54,6,9,15,6,7
J. Orozco,76,12,14,12,52,14,27,14,14,61,35,59,60,69,73,63,24,84,45,68,12,40,12,13,70,24,69,21,15,20,76,71,82,77,76
N. El Zhar,76,78,74,49,77,59,81,75,58,64,76,76,68,83,73,76,81,62,67,60,71,58,37,72,74,72,65,34,38,36,7,10,16,8,13
O. Colley,76,44,28,78,67,24,42,38,37,60,60,60,79,59,71,44,41,65,79,87,31,82,68,28,32,33,68,75,75,79,8,7,7,14,13
J. Aholou,76,51,65,64,77,47,75,46,44,72,75,76,72,69,69,60,73,54,71,72,73,76,82,60,58,49,74,80,77,72,13,7,7,14,8
G. Clichy,76,74,34,68,70,59,73,64,38,69,76,78,80,77,72,74,52,70,82,66,43,55,75,68,59,45,73,74,77,75,10,11,9,11,6
RubÈn Sobrino,76,55,78,70,73,70,81,71,57,47,82,79,86,78,70,65,72,62,65,62,74,65,22,74,54,66,65,52,31,17,13,8,11,7,15
J. Iturbe,76,67,65,40,69,61,81,71,73,57,77,93,92,93,64,91,76,67,70,40,76,74,21,74,70,62,79,31,30,26,12,8,12,6,9
H. Soudani,76,73,76,71,72,68,75,74,59,62,77,70,78,77,74,68,79,71,54,72,74,75,48,78,70,67,73,40,37,28,14,15,9,9,8
M. Bradley,76,73,57,63,80,71,73,74,71,79,77,65,64,65,75,72,76,47,89,78,69,80,70,63,73,68,76,69,71,70,7,14,16,16,16
Z. Labyad,76,76,70,49,72,74,79,84,83,64,81,78,74,77,72,82,83,64,69,61,79,32,31,69,80,68,79,38,36,28,10,10,14,15,11
D. Mbokani,76,46,71,78,70,72,71,48,46,53,74,67,73,75,76,66,79,75,71,84,68,68,35,78,70,72,80,31,36,28,8,6,9,10,12
T. Mangani,76,68,63,67,79,67,70,74,78,78,78,61,60,67,71,61,77,68,80,72,74,71,74,66,78,75,74,71,72,72,13,12,9,13,15
A. Lunin,76,15,8,12,25,12,11,14,15,26,15,33,26,36,76,22,22,56,32,61,7,22,19,11,60,19,56,22,13,11,74,71,76,77,79
E. Ins˙a,76,82,49,72,76,64,74,59,68,74,74,65,66,68,75,68,85,71,78,77,76,79,79,71,68,66,75,68,75,75,11,10,9,8,16
N. Domingo,76,58,54,58,75,58,66,59,47,77,75,58,55,74,75,75,67,68,77,66,68,73,76,56,68,68,74,73,78,71,7,16,14,10,15
D. Yedlin,76,69,40,65,70,60,75,70,28,53,73,93,93,85,75,76,73,86,86,66,51,76,68,70,68,38,72,72,75,72,7,15,7,11,11
D. Gonz·lez,76,68,64,64,77,50,71,58,41,75,73,68,70,66,77,60,75,69,93,79,73,84,75,69,73,57,76,65,71,69,16,13,7,12,14
T. Kraft,76,14,14,13,35,13,13,11,12,28,21,45,50,45,74,42,23,73,35,68,16,40,20,13,25,18,48,20,19,20,80,75,60,65,84
M. Simon,76,75,72,58,69,72,82,47,55,54,76,93,92,92,71,91,76,93,73,69,68,38,26,72,66,60,74,25,31,25,7,13,12,13,9
Davi Parrela,76,55,31,75,61,44,49,38,39,62,54,61,67,44,67,41,55,57,52,89,44,88,71,34,43,51,74,81,77,71,9,7,13,9,12
N. DomÌnguez,76,58,61,68,77,43,66,44,56,72,75,59,58,60,69,60,77,71,80,79,69,69,75,56,76,55,70,75,76,70,15,13,12,11,16
C. Dawson,76,68,49,81,65,20,55,45,24,60,67,62,65,62,70,50,57,83,81,77,14,76,76,56,51,66,68,76,76,75,7,8,7,7,5
A. Rusn·k,76,73,71,39,77,74,73,73,72,74,77,76,73,85,72,75,79,55,74,53,77,59,38,73,76,69,74,51,49,38,10,7,16,13,7
Paulo Oliveira,76,36,25,77,73,36,60,33,29,49,71,66,69,53,72,48,61,85,74,80,29,71,72,30,41,45,67,71,77,76,14,8,11,12,7
A. Gomis,76,15,16,11,34,11,15,12,12,35,24,43,41,60,67,54,26,81,33,57,15,16,21,16,61,23,57,18,14,10,77,74,70,75,77
H. Tekin,76,14,10,11,23,11,14,12,11,17,23,40,37,39,72,38,21,70,22,51,12,26,16,11,42,18,63,13,14,12,77,72,72,73,80
TozÈ,76,74,71,48,78,70,76,77,79,75,78,76,70,87,72,91,77,59,69,31,75,53,48,68,77,81,69,57,38,36,15,13,12,16,15
R. RuidÌaz,76,67,80,74,66,71,76,66,69,53,74,79,86,83,70,79,76,74,76,49,73,62,28,80,65,70,75,34,22,23,12,9,9,11,12
J. Hogg,76,58,54,64,74,53,67,46,41,69,68,69,68,64,74,72,61,64,89,75,54,85,75,58,64,41,70,75,79,76,6,8,13,14,11
L. Holtby,76,76,65,30,80,69,77,81,76,76,79,74,67,82,75,78,71,90,85,63,69,69,67,68,76,66,74,51,44,61,12,12,8,11,9
A. Djiku,76,71,34,73,64,35,67,57,43,59,71,74,79,67,67,66,50,81,75,77,42,78,76,55,55,43,66,75,76,77,11,7,9,10,11
O. Alonso,76,47,50,66,82,69,75,66,51,78,76,68,68,70,73,75,84,65,74,76,66,87,70,66,65,66,77,71,73,74,9,12,15,16,8
S. Berge,76,61,34,73,80,48,76,64,40,76,76,75,77,68,69,53,75,71,80,88,55,67,78,62,76,46,78,68,72,61,14,9,10,8,10
C. Zambrano,76,51,41,74,72,36,66,36,33,68,69,65,62,65,66,59,67,82,73,74,54,91,70,44,45,44,73,75,77,76,14,12,13,12,14
M. Antonio,76,74,72,83,73,66,79,66,60,65,75,82,86,84,74,76,75,89,70,84,72,77,40,76,68,73,70,50,56,53,12,13,8,14,10
J. Clasie,76,66,55,27,80,72,70,77,70,74,80,69,61,74,74,91,79,68,68,67,73,81,80,65,79,64,73,71,71,61,11,11,14,10,7
Diego Rico,76,77,38,74,76,53,66,71,69,57,68,67,75,64,71,70,82,72,88,74,72,70,78,59,63,43,64,60,77,76,10,9,15,11,10
MossorÛ,76,71,69,60,77,72,77,77,69,72,78,76,67,78,72,90,75,74,62,50,77,87,42,72,77,66,76,44,42,47,13,14,10,16,9
G. Donsah,76,74,52,56,78,66,78,72,64,76,78,78,75,82,74,85,82,78,88,76,70,74,62,62,74,64,74,82,72,72,14,12,7,7,12
Felipe,75,34,20,74,62,19,44,49,21,64,60,38,41,49,72,63,68,69,48,67,40,70,81,29,46,35,68,77,80,76,11,6,8,9,5
S. Fofana,75,62,60,58,76,50,78,62,42,72,76,76,74,74,74,69,79,63,76,78,78,76,71,72,70,56,70,65,72,68,9,8,9,11,10
Pablo Santos,75,31,39,73,58,26,48,25,27,43,56,65,68,60,74,57,48,83,78,76,37,72,79,32,33,31,59,75,76,79,12,14,11,12,15
J. Svensson,75,74,55,59,73,61,73,72,54,66,69,76,79,74,72,86,74,73,89,77,58,81,72,68,65,48,71,70,75,76,15,12,7,10,16
E. Roco,75,40,43,79,70,27,55,27,31,60,62,37,43,57,73,43,45,80,72,84,39,66,72,42,49,34,67,77,75,69,13,9,13,13,13
F. Midtsj¯,75,65,62,58,78,62,73,66,55,73,75,74,73,80,76,83,72,65,87,73,69,74,72,68,74,51,77,67,68,65,8,12,11,13,13
Francis,75,75,75,45,72,52,78,63,52,74,76,77,82,79,70,77,53,43,58,43,42,55,60,69,68,53,55,69,70,70,11,14,9,12,6
Ivi,75,72,75,59,71,66,81,57,66,65,77,81,80,78,71,82,77,69,68,64,76,49,41,72,66,73,63,50,36,29,13,15,12,7,12
Unai N˙Òez,75,29,16,76,74,21,35,27,22,33,71,66,68,44,65,60,39,72,67,78,17,74,79,23,30,31,56,62,77,76,9,9,15,6,11
L. Lerager,75,62,67,74,76,63,68,47,43,71,74,62,67,63,76,53,70,74,90,69,65,76,75,72,72,48,67,67,71,66,7,7,14,13,13
P. De Blasis,75,68,72,80,73,60,77,77,62,66,77,84,75,92,72,95,75,93,77,42,71,74,28,73,71,79,74,55,39,37,13,11,8,8,8
M. Zajc,75,69,69,60,76,69,74,72,72,74,76,68,71,74,70,75,74,65,68,55,70,52,40,75,74,67,74,55,55,53,14,6,13,11,5
J. Stanislas,75,72,71,43,74,51,75,74,77,67,77,76,76,75,69,63,71,44,72,55,69,36,60,73,74,61,67,28,27,29,13,8,6,7,6
Lucas Evangelista,75,71,56,49,77,67,75,68,68,73,73,77,75,78,79,68,74,48,82,67,76,66,63,73,75,57,80,67,73,70,13,13,13,12,8
M. Stoch,75,71,70,35,69,69,80,84,74,64,78,87,82,86,71,86,85,62,71,34,87,67,33,70,65,72,70,52,30,22,11,10,10,11,12
S. van Beek,75,42,23,76,68,29,44,30,36,74,59,60,67,50,70,54,64,70,68,77,30,73,74,18,45,54,66,75,79,76,8,9,8,9,9
Fabrio Farinha,75,75,65,58,77,66,77,70,62,74,75,74,75,82,73,62,55,64,58,60,57,47,44,67,77,64,76,23,56,48,8,15,11,7,15
M. Koz·?ik,75,9,9,10,28,12,11,18,10,28,21,57,57,50,64,30,22,68,25,63,11,38,25,12,64,23,63,18,9,9,78,71,69,79,74
Fran Sol,75,37,80,78,62,69,63,61,62,49,70,67,68,68,76,65,78,82,69,73,73,51,28,74,62,72,69,37,25,19,10,6,9,13,11
R. Otero,75,66,68,58,73,65,78,82,84,70,77,88,81,92,72,91,85,58,72,37,78,67,42,69,76,65,73,43,44,47,14,9,14,11,14
G. Marip·n,75,41,28,75,66,31,40,29,27,51,57,45,48,31,72,32,56,68,56,92,24,75,68,28,30,20,69,76,77,73,7,12,7,16,12
M. Braithwaite,75,68,73,66,71,73,75,71,75,65,76,76,78,84,72,76,76,84,77,76,69,69,31,75,68,73,76,35,30,26,14,13,11,7,8
E. Dilaver,75,52,39,76,67,44,59,60,35,50,66,67,72,63,76,59,63,68,76,74,43,75,74,52,54,49,67,76,76,68,9,15,16,12,10
R. ¡lvarez,75,78,68,64,76,73,79,78,76,76,79,62,59,73,75,56,75,74,65,73,75,63,53,72,72,63,73,35,58,54,5,11,11,14,10
A. Masuaku,75,76,55,61,74,61,83,71,48,70,79,87,86,77,75,82,75,69,78,69,71,65,67,68,71,49,74,65,74,73,8,7,10,7,7
Rolando,75,44,20,74,68,37,47,46,44,66,66,34,32,34,68,36,62,67,54,81,48,75,76,45,47,48,73,74,80,74,14,8,16,6,15
Fran Rico,75,68,61,62,80,54,65,76,78,76,78,63,42,66,74,72,76,61,70,65,73,80,72,53,75,72,69,62,75,68,9,14,8,13,7
D. Tarasov,75,59,48,78,74,38,69,42,50,72,73,53,65,62,69,43,65,75,74,86,57,86,74,59,65,52,72,75,75,73,15,9,12,11,10
Alcal·,75,45,30,76,71,37,50,62,65,66,64,31,42,35,75,31,80,62,67,91,68,77,74,26,48,39,67,62,81,71,15,10,8,8,11
Alan Patrick,75,71,68,48,76,64,80,73,78,72,76,74,75,80,71,72,77,61,73,38,75,46,59,63,77,66,76,55,53,42,13,8,6,9,10
L. Refaelov,75,71,70,43,74,73,76,80,72,67,76,78,71,80,69,73,75,63,64,55,72,41,41,77,77,73,79,42,52,50,10,8,9,16,9
Y. Gazinskiy,75,56,55,62,78,50,67,45,44,76,75,63,68,59,65,58,64,70,80,66,50,76,75,52,58,55,74,73,74,71,13,15,11,15,9
Palhinha,75,44,38,69,76,49,68,40,45,73,75,52,51,50,75,44,59,80,53,86,53,78,78,47,68,56,79,77,77,67,14,10,8,7,7
Balenziaga,75,78,41,71,70,50,67,76,33,69,72,73,75,68,71,69,61,78,85,71,54,78,74,54,62,44,69,68,76,74,15,10,7,6,11
R. Petrovi?,75,49,48,67,75,36,65,36,33,74,70,46,40,41,70,34,63,60,79,79,67,77,78,55,67,47,67,72,79,65,11,15,9,14,7
K. Ansarifard,75,59,75,72,59,72,74,63,53,50,75,72,77,73,74,65,78,73,72,70,67,66,54,78,52,61,81,30,40,38,8,14,9,15,12
M. Ninkovi?,75,69,68,52,76,66,76,69,64,69,78,67,71,82,68,67,69,64,77,68,73,59,58,69,78,70,71,29,54,50,11,11,8,6,13
A. Talavera,75,15,13,14,35,13,10,15,14,35,21,58,58,57,69,47,25,80,36,75,13,38,24,14,43,44,60,26,13,14,80,71,71,72,76
A. Barrada,75,74,64,61,76,63,76,76,78,75,78,73,76,80,75,72,71,68,63,68,70,70,36,71,74,71,68,44,42,33,11,7,6,16,7
J. Korb,75,75,49,46,76,30,76,68,44,54,76,77,69,77,77,75,54,75,77,59,40,75,70,68,59,49,74,71,78,77,12,13,14,10,12
F. GutiÈrrez,75,70,68,51,78,66,70,79,72,71,78,67,66,76,77,79,73,48,76,58,70,68,68,72,73,70,71,55,65,53,11,6,8,13,14
T. Bongonda,75,73,65,39,72,58,80,64,63,61,80,86,80,87,70,79,72,80,75,53,67,30,30,72,67,57,68,17,26,24,12,15,9,15,7
Sim„o Donatinho,75,12,10,12,20,11,12,20,10,20,25,41,46,58,75,48,20,69,32,60,14,42,15,8,58,29,59,23,10,13,76,70,77,75,75
LuÌs Hern·ndez,75,69,37,66,72,53,59,56,42,69,69,68,69,68,75,68,70,83,78,75,55,65,78,55,55,54,69,76,75,78,8,7,11,8,9
L. Balogun,75,69,30,77,66,32,60,59,38,60,64,60,69,51,69,51,70,73,60,82,60,72,73,49,47,39,66,75,73,74,6,15,12,10,6
M. Rog,75,75,62,47,82,65,80,64,57,78,78,78,75,63,72,67,70,48,64,68,74,74,58,62,76,60,76,64,68,66,6,15,12,13,12
B. Do?kal,75,80,67,57,77,69,75,82,76,73,77,66,63,71,74,66,78,63,65,58,78,59,48,73,78,71,74,52,46,40,10,9,14,11,8
J. Durmaz,75,74,69,22,75,68,79,76,76,73,75,77,72,77,72,76,77,53,71,53,73,75,22,66,72,74,75,31,44,30,8,14,9,12,15
T. K·d·r,75,71,34,73,70,29,58,31,38,71,68,67,73,56,69,63,39,71,87,79,28,73,76,46,62,35,64,77,76,72,9,14,16,8,10
E. Andrada,75,15,14,13,31,18,16,14,15,17,20,45,44,34,70,43,17,54,45,59,13,24,25,19,48,19,43,17,20,14,77,71,67,72,78
Z. Steffen,75,14,9,13,41,8,15,13,11,43,28,44,42,39,70,40,27,57,33,59,12,31,19,9,48,37,46,13,12,12,76,71,72,70,83
M. Lestienne,75,68,71,47,73,68,79,72,69,69,73,82,81,85,70,84,70,73,83,31,69,69,35,70,70,68,71,41,27,34,9,15,12,11,7
M. Alustiza,75,60,80,75,72,75,74,67,64,68,75,74,68,79,68,78,74,80,66,58,72,60,27,73,75,80,70,30,33,33,10,9,8,8,11
Borja Mayoral,75,58,79,67,69,71,73,34,57,43,76,68,72,73,75,66,75,68,42,62,70,27,12,77,56,69,62,43,13,20,12,9,8,15,7
D. Bonera,75,58,23,74,60,19,41,38,29,61,51,33,30,34,68,48,60,74,34,77,53,80,79,27,41,49,77,82,78,74,3,3,3,3,3
Sa˙l BerjÛn,75,77,70,43,76,80,75,76,76,74,76,77,77,73,68,74,80,70,68,74,74,42,60,71,76,79,69,38,40,25,15,11,8,8,11
C. Beauvue,75,72,74,87,75,84,75,59,71,61,76,69,66,79,63,74,82,78,39,62,69,54,43,70,64,70,61,25,45,21,16,15,8,15,13
Danilo,75,60,60,80,76,63,72,68,67,71,75,67,69,68,77,66,75,86,81,73,73,77,77,73,73,41,80,71,75,72,13,6,11,11,14
J. Hern·ndez,75,64,49,56,74,71,67,71,63,71,73,67,72,67,69,74,74,81,89,69,69,84,75,56,73,69,75,69,72,69,9,9,13,8,11
J. Hendrick,75,70,67,69,78,68,76,73,64,76,76,70,67,68,74,74,74,74,78,71,69,75,75,73,74,63,74,74,71,69,12,6,9,9,14
M. Lopez,75,74,62,59,79,59,77,74,58,75,76,77,66,85,77,93,60,64,73,42,64,71,64,69,76,63,67,66,62,55,7,14,13,11,6
F. Hanin,75,74,38,49,73,33,74,72,54,64,73,89,81,82,75,73,60,60,91,64,46,71,68,58,59,25,73,72,74,71,6,11,12,11,12
D. MachÌs,75,70,73,51,72,57,82,65,56,66,74,91,88,88,66,91,81,81,68,58,69,72,38,70,64,62,72,40,35,24,8,8,10,13,10
A. Potuk,75,70,60,59,75,50,77,75,40,74,75,77,79,87,74,83,75,72,79,61,70,78,46,72,71,50,70,58,49,49,12,12,7,10,8
Idris,75,48,40,75,72,43,64,49,40,65,67,47,58,57,74,50,76,65,92,81,57,89,75,54,59,53,66,74,77,69,15,9,11,6,15
N. Cardozo,75,75,67,55,75,55,72,73,70,77,73,81,80,80,70,73,67,72,86,75,70,76,63,72,77,61,70,69,70,64,9,15,15,10,13
Javi LÛpez,75,70,55,60,76,49,68,67,52,61,75,67,72,68,80,71,57,73,75,69,43,84,75,61,65,56,81,60,77,82,10,8,7,12,16
G. Pandev,75,69,73,70,74,78,83,80,69,65,83,65,52,63,73,72,76,72,44,62,74,52,39,79,71,68,72,23,40,35,10,14,10,6,15
J˙lio Tavares,75,30,75,79,69,68,66,56,30,42,74,66,55,69,76,49,76,59,69,86,68,49,23,76,61,68,71,28,24,21,9,15,15,14,6
D. LiÈnard,75,77,67,65,80,62,73,79,81,79,77,67,67,59,70,65,79,54,66,71,76,66,57,74,77,67,72,54,52,60,13,12,15,14,14
Y. PelÈ,75,15,14,16,34,11,13,14,15,33,18,51,47,42,70,54,17,67,32,78,13,33,24,15,14,13,64,14,13,12,75,75,67,72,76
L. Sepe,75,12,14,13,32,18,14,13,12,31,22,49,46,46,71,34,21,57,27,68,19,12,20,10,43,17,63,28,19,19,74,76,61,73,79
J. Bruma,75,40,38,78,71,34,59,43,66,72,60,54,65,50,67,45,86,71,63,90,65,80,70,46,58,39,71,72,76,72,11,16,16,12,13
O. Duarte,75,40,26,77,70,32,48,28,32,55,59,57,66,54,72,45,47,79,61,73,24,74,74,35,39,37,67,72,79,80,15,9,7,8,14
A. Franco,75,35,27,78,62,35,36,31,35,31,68,67,60,41,72,74,45,75,79,77,28,71,75,35,40,42,61,78,78,71,6,8,12,7,13
Dani Olmo,75,77,70,43,75,62,74,72,75,78,76,77,80,77,69,64,68,55,63,53,71,47,27,69,76,62,73,40,35,32,15,15,13,12,11
F. Di Santo,75,62,70,72,76,80,75,70,49,63,78,68,69,66,76,59,77,60,69,77,74,76,43,74,73,76,73,48,38,32,7,10,10,10,9
Jozabed,75,61,73,64,78,54,72,71,57,72,75,67,61,71,74,64,71,65,67,66,74,58,64,80,79,54,67,40,73,67,8,10,9,8,13
G. Carrillo,75,34,75,83,64,76,70,46,36,57,74,57,62,66,71,62,75,78,71,79,72,72,34,78,59,77,70,43,29,26,10,11,6,9,12
M. Zeegelaar,75,75,56,60,69,58,74,68,52,59,76,69,77,65,73,53,76,65,78,79,64,71,74,74,67,53,68,73,75,74,12,15,12,11,10
G. Ferrari,75,14,21,70,60,15,38,18,23,64,60,67,52,48,70,44,33,77,57,82,18,75,76,22,20,28,68,75,78,76,9,16,6,10,9
O. ?ahiner,75,77,62,52,73,65,77,74,76,66,75,81,81,78,74,79,74,81,74,57,67,74,69,72,62,63,70,55,70,69,13,12,10,13,9
I. TraorÈ,75,43,22,75,65,19,35,48,58,65,63,52,54,62,70,60,45,72,68,86,45,78,73,21,53,49,71,73,75,74,6,10,16,6,15
T. Arslan,75,67,64,58,80,65,79,76,72,76,79,75,72,74,68,77,82,58,74,65,73,79,76,66,71,76,77,68,74,69,6,11,10,6,6
N. Ara˙jo,75,32,34,78,72,36,53,44,45,66,69,69,72,50,71,63,57,66,72,85,39,65,76,30,43,54,71,62,80,79,7,8,13,6,9
S. Armstrong,75,64,70,66,75,62,75,70,70,71,73,79,76,84,67,65,75,69,82,68,75,67,67,72,73,52,67,61,64,61,14,8,13,11,13
